timestep,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates
102400,-169.4784,960.0,2.644545,6.298918,-0.009087,-6.338766,0.009197,0.097119,0.2,0.0003,0.903206,490.0
104448,-165.0203,960.0,3.1172,5.727945,-0.005081,-6.223524,0.008048,0.078076,0.2,0.0003,0.841398,500.0
106496,-164.8038,960.0,3.457381,6.983643,-0.00667,-6.24602,0.008928,0.098193,0.2,0.0003,0.898382,510.0
108544,-158.6301,960.0,2.633937,5.511612,-0.003381,-6.188528,0.006352,0.054883,0.2,0.0003,0.8805,520.0
110592,-154.2912,960.0,2.637862,5.541699,-0.005253,-6.270706,0.006736,0.076172,0.2,0.0003,0.925788,530.0
112640,-146.147,960.0,2.658726,6.292007,-0.005232,-6.195089,0.009591,0.115576,0.2,0.0003,0.911819,540.0
114688,-143.305,960.0,3.266239,7.545688,-0.003962,-6.32464,0.006263,0.050537,0.2,0.0003,0.920651,550.0
116736,-140.4975,960.0,2.109617,5.472801,-0.004864,-6.299296,0.008686,0.099365,0.2,0.0003,0.941128,560.0
118784,-139.4329,960.0,2.625309,6.518965,-0.005691,-6.307155,0.010035,0.100732,0.2,0.0003,0.923617,570.0
120832,-134.2882,960.0,2.90929,5.391834,-0.006121,-6.11264,0.009812,0.126709,0.2,0.0003,0.92104,580.0
122880,-128.8573,960.0,2.946189,7.714722,-0.005337,-6.193553,0.009588,0.099121,0.2,0.0003,0.900475,590.0
124928,-124.6008,960.0,2.467294,6.184246,-0.005629,-6.329337,0.006651,0.097559,0.2,0.0003,0.933335,600.0
126976,-122.6701,960.0,3.680943,7.854506,-0.002423,-6.193956,0.007258,0.083496,0.2,0.0003,0.924152,610.0
129024,-117.0394,960.0,2.301586,5.814821,-0.004448,-6.115296,0.00884,0.064648,0.2,0.0003,0.915546,620.0
131072,-115.8318,960.0,2.342455,7.203824,0.001176,-6.223819,0.013747,0.202002,0.2,0.0003,0.931629,630.0
133120,-114.8711,960.0,2.215079,5.005491,-0.002145,-6.115595,0.009991,0.082178,0.2,0.0003,0.943332,640.0
135168,-110.9249,960.0,2.968455,6.057779,-0.00389,-6.172842,0.007125,0.050488,0.2,0.0003,0.943214,650.0
137216,-108.4167,960.0,3.201089,7.107453,-0.000878,-6.218973,0.012871,0.098682,0.2,0.0003,0.930316,660.0
139264,-101.6489,960.0,3.753322,7.784935,-0.004161,-6.11777,0.010243,0.135059,0.2,0.0003,0.904388,670.0
141312,-99.5073,960.0,2.76834,6.01259,-0.004789,-6.040107,0.00996,0.126904,0.2,0.0003,0.881389,680.0
143360,-92.2872,960.0,2.00436,6.076174,-0.008743,-6.078485,0.011293,0.090723,0.2,0.0003,0.939218,690.0
145408,-91.2519,960.0,2.60114,4.874335,-0.002959,-6.109463,0.016074,0.135303,0.2,0.0003,0.957141,700.0
147456,-87.6173,960.0,2.469994,6.351508,-0.007879,-5.882137,0.011482,0.08584,0.2,0.0003,0.904964,710.0
149504,-83.9487,960.0,3.613328,7.188481,-0.002635,-5.977445,0.00877,0.07627,0.2,0.0003,0.937316,720.0
151552,-81.3971,960.0,2.855468,7.805903,-0.002545,-5.822517,0.007875,0.127588,0.2,0.0003,0.900254,730.0
153600,-82.639,960.0,,,,,,,,,,
155648,-79.4012,960.0,1.212124,4.397492,-0.004584,-5.679662,0.007956,0.105273,0.2,0.0003,0.882294,750.0
157696,-78.7244,960.0,2.969242,6.636394,-0.004911,-5.749933,0.007297,0.079639,0.2,0.0003,0.928051,760.0
159744,-78.7239,960.0,4.09351,8.023252,-0.002208,-5.715473,0.009156,0.131152,0.2,0.0003,0.925522,770.0
161792,-73.7866,960.0,2.177119,5.254703,-0.004489,-5.751422,0.012047,0.145117,0.2,0.0003,0.955142,780.0
163840,-73.6405,960.0,3.19417,10.229116,-0.006038,-5.783561,0.01592,0.094629,0.2,0.0003,0.934495,790.0
165888,-70.341,960.0,4.331957,8.965799,-0.003488,-5.656054,0.021408,0.087793,0.2,0.0003,0.866173,800.0
167936,-66.833,960.0,3.142071,7.177269,-0.00709,-5.754996,0.009522,0.134668,0.2,0.0003,0.937889,810.0
169984,-62.4959,960.0,2.336952,5.234189,-0.005057,-5.57562,0.009016,0.065576,0.2,0.0003,0.916804,820.0
172032,-61.3382,960.0,2.872537,7.445503,-0.003183,-5.707575,0.014293,0.12041,0.2,0.0003,0.947689,830.0
174080,-58.7736,960.0,2.329269,5.923933,-0.001224,-5.751172,0.007935,0.112256,0.2,0.0003,0.965652,840.0
176128,-56.9885,960.0,2.793889,7.245871,-0.000133,-5.69023,0.011695,0.189404,0.2,0.0003,0.954748,850.0
178176,-53.8312,960.0,3.842726,7.512345,-0.004572,-5.687075,0.007843,0.097168,0.2,0.0003,0.938945,860.0
180224,-53.9175,960.0,5.372602,8.082768,-0.009507,-5.706691,0.010632,0.122998,0.2,0.0003,0.938918,870.0
182272,-55.6188,960.0,2.53039,6.147518,-0.001376,-5.62422,0.010385,0.11543,0.2,0.0003,0.945072,880.0
184320,-52.8671,960.0,2.272668,5.198567,-0.003732,-5.579722,0.008964,0.060205,0.2,0.0003,0.959216,890.0
186368,-49.6717,960.0,5.109378,8.945216,-0.00396,-5.629869,0.011224,0.157812,0.2,0.0003,0.942681,900.0
188416,-49.8222,960.0,3.70317,8.296959,-0.004054,-5.714257,0.006152,0.117041,0.2,0.0003,0.951039,910.0
190464,-44.4917,960.0,1.823868,5.992275,-0.006667,-5.658577,0.00982,0.097461,0.2,0.0003,0.962292,920.0
192512,-39.2931,960.0,4.066556,7.942303,-0.004799,-5.675854,0.009451,0.148975,0.2,0.0003,0.957848,930.0
194560,-36.8137,960.0,4.937948,7.637989,0.010116,-5.614449,0.020613,0.213086,0.2,0.0003,0.961902,940.0
196608,-35.3511,960.0,3.064966,6.973107,-0.003797,-5.528958,0.013505,0.139063,0.2,0.0003,0.960456,950.0
198656,-31.6105,960.0,3.291528,7.63873,-0.000771,-5.603718,0.008842,0.127979,0.2,0.0003,0.963791,960.0
200704,-33.7512,960.0,4.514626,9.739259,-0.003958,-5.475542,0.010388,0.106738,0.2,0.0003,0.934118,970.0
202752,-31.5912,960.0,4.547225,9.184878,-0.001275,-5.455858,0.010163,0.106055,0.2,0.0003,0.91218,980.0
204800,-28.1242,960.0,4.071177,7.84919,-0.003388,-5.562723,0.007353,0.091162,0.2,0.0003,0.887683,990.0
206848,-26.7577,960.0,1.836062,6.628231,-0.007003,-5.600085,0.021176,0.166162,0.2,0.0003,0.955193,1000.0
208896,-29.1759,960.0,3.740141,6.734453,0.004846,-5.390585,0.029296,0.168896,0.2,0.0003,0.928751,1010.0
210944,-28.589,960.0,3.478445,7.439153,-0.003635,-5.468408,0.006836,0.096143,0.2,0.0003,0.90365,1020.0
212992,-26.2458,960.0,4.344881,7.466278,-0.002879,-5.637007,0.010305,0.11709,0.2,0.0003,0.935226,1030.0
215040,-24.7698,960.0,4.204254,9.140819,-0.000866,-5.459709,0.017897,0.115234,0.2,0.0003,0.904151,1040.0
217088,-23.2724,960.0,4.377872,8.868636,-0.003445,-5.511298,0.010271,0.118408,0.2,0.0003,0.903963,1050.0
219136,-23.4312,960.0,3.011293,7.607952,-0.004635,-5.578803,0.00987,0.171582,0.2,0.0003,0.946349,1060.0
221184,-27.4831,960.0,3.419415,7.781943,-0.003177,-5.422051,0.018979,0.089404,0.2,0.0003,0.915119,1070.0
223232,-25.6763,960.0,2.811086,7.145195,-0.00259,-5.365804,0.00918,0.146436,0.2,0.0003,0.863836,1080.0
225280,-27.0482,960.0,4.80949,8.476336,0.002283,-5.543211,0.009586,0.174219,0.2,0.0003,0.918453,1090.0
227328,-23.0536,960.0,4.860385,8.928014,-0.005751,-5.390538,0.014532,0.131738,0.2,0.0003,0.919243,1100.0
229376,-20.5622,960.0,3.278283,7.342569,0.002365,-5.520925,0.010219,0.179395,0.2,0.0003,0.945451,1110.0
231424,-20.5062,960.0,3.264703,7.756636,0.000968,-5.478494,0.015107,0.076709,0.2,0.0003,0.912401,1120.0
233472,-21.6971,960.0,3.753628,8.68614,0.002303,-5.533675,0.012354,0.179199,0.2,0.0003,0.920237,1130.0
235520,-19.9154,960.0,2.51208,7.724794,-0.006417,-5.327544,0.008968,0.097705,0.2,0.0003,0.880376,1140.0
237568,-21.2083,960.0,3.717942,6.119997,0.006165,-5.638297,0.019136,0.222852,0.2,0.0003,0.955368,1150.0
239616,-20.9387,960.0,3.682805,7.488129,-0.005915,-5.436483,0.006599,0.069629,0.2,0.0003,0.88494,1160.0
241664,-19.3915,960.0,6.30012,6.999277,-0.007547,-5.555181,0.010989,0.103223,0.2,0.0003,0.94342,1170.0
243712,-20.0141,960.0,2.968513,6.761373,-0.005498,-5.38987,0.009288,0.119873,0.2,0.0003,0.940387,1180.0
245760,-16.9071,960.0,4.613484,8.030231,-0.004504,-5.32347,0.014743,0.103223,0.2,0.0003,0.933068,1190.0
247808,-15.9967,960.0,4.442031,8.849139,-0.003476,-5.448018,0.01129,0.127637,0.2,0.0003,0.907328,1200.0
249856,-11.2278,960.0,4.04281,7.017956,0.003031,-5.467738,0.03408,0.147754,0.2,0.0003,0.958001,1210.0
251904,-9.0091,960.0,3.878627,6.897464,0.000844,-5.524029,0.026897,0.226074,0.2,0.0003,0.964034,1220.0
253952,-7.0142,960.0,2.667375,6.069049,-0.002626,-5.55412,0.024868,0.247217,0.2,0.0003,0.96493,1230.0
256000,-7.1651,960.0,3.989313,6.92806,-0.003501,-5.519013,0.013234,0.125977,0.2,0.0003,0.958993,1240.0
258048,-9.252,960.0,3.973668,7.667662,-0.002488,-5.445708,0.010805,0.082715,0.2,0.0003,0.934274,1250.0
260096,-9.8089,960.0,6.196601,9.479316,-0.006274,-5.469951,0.005836,0.090283,0.2,0.0003,0.933284,1260.0
262144,-11.3945,960.0,5.184107,7.966345,-0.009368,-5.26806,0.021313,0.14126,0.2,0.0003,0.927544,1270.0
264192,-6.9457,960.0,3.157539,8.989665,-0.003183,-5.488734,0.0178,0.099902,0.2,0.0003,0.927222,1280.0
266240,-8.0001,960.0,2.743175,6.171241,0.001922,-5.583111,0.018783,0.201563,0.2,0.0003,0.958167,1290.0
268288,-6.7898,960.0,2.424234,6.383863,-0.002207,-5.541895,0.011951,0.127832,0.2,0.0003,0.911393,1300.0
270336,-7.9777,960.0,2.688123,5.317524,0.007365,-5.686628,0.013589,0.20459,0.2,0.0003,0.963644,1310.0
272384,-9.2619,960.0,2.459149,6.922576,-0.004746,-5.570591,0.01276,0.095264,0.2,0.0003,0.929268,1320.0
274432,-8.9836,960.0,3.196771,7.722976,-0.009248,-5.405877,0.013376,0.104004,0.2,0.0003,0.907336,1330.0
276480,-6.3998,960.0,2.796201,7.163892,-0.006517,-5.466362,0.010028,0.098242,0.2,0.0003,0.897385,1340.0
278528,-2.9126,960.0,2.725986,6.664263,0.00292,-5.463817,0.009901,0.09751,0.2,0.0003,0.886749,1350.0
280576,-1.08,960.0,2.605666,6.568233,-0.002185,-5.465194,0.009095,0.145801,0.2,0.0003,0.937575,1360.0
282624,-1.1955,960.0,2.79518,4.856464,-0.001362,-5.506412,0.009127,0.191797,0.2,0.0003,0.964026,1370.0
284672,0.0939,960.0,1.994091,6.033449,-0.00294,-5.416738,0.012761,0.194678,0.2,0.0003,0.949234,1380.0
286720,-1.5042,960.0,1.976212,5.607782,-0.003388,-5.353648,0.00835,0.106201,0.2,0.0003,0.911997,1390.0
288768,-3.6232,960.0,2.770097,5.101442,-0.002143,-5.431396,0.009212,0.170703,0.2,0.0003,0.953779,1400.0
290816,-1.7378,960.0,2.807826,6.439188,-0.000266,-5.427553,0.008623,0.110937,0.2,0.0003,0.928359,1410.0
292864,-3.2833,960.0,2.638707,6.425825,-0.006704,-5.42759,0.01331,0.119043,0.2,0.0003,0.934923,1420.0
294912,-1.3471,960.0,2.894818,7.813008,0.0003,-5.29737,0.010769,0.116504,0.2,0.0003,0.905919,1430.0
296960,2.4316,960.0,3.702032,7.869932,0.002946,-5.340953,0.047832,0.090186,0.2,0.0003,0.917888,1440.0
299008,3.5855,960.0,3.537436,6.973733,-0.004554,-5.338357,0.011779,0.087256,0.2,0.0003,0.950957,1450.0
301056,3.5502,960.0,3.243812,5.712603,-0.0044,-5.310248,0.02974,0.130176,0.2,0.0003,0.943151,1460.0
303104,5.1653,960.0,4.560266,5.9433,-0.001484,-5.282249,0.008605,0.161426,0.2,0.0003,0.95062,1470.0
305152,6.6292,960.0,,,,,,,,,,
307200,6.9691,960.0,2.11661,6.017185,0.005482,-5.182188,0.010654,0.167725,0.2,0.0003,0.951499,1490.0
309248,8.7488,960.0,3.075871,7.528473,-0.000253,-5.180326,0.019776,0.141943,0.2,0.0003,0.930917,1500.0
